QT_TOTAL_HIT_PAYWALL,DIASNAVEGADOS,NOTICIASLIDAS,VISITAS_CAPA,USOU_APP,PERFIL,PES_GENERO,ATR_PF_GEO_RENDA_FAM,IDADE
0,0,0,0,NAO,ASSINANTE,F,DE 4SM ATE 8SM,41.0
1,1,0,9,SIM,ASSINANTE,M,DE 4SM ATE 8SM,45.0
1,6,3,7,NAO,ASSINANTE,M,DE 3SM ATE 4SM,55.0
11,16,10,0,NAO,ASSINANTE,M,DE 4SM ATE 8SM,52.0
0,0,0,0,NAO,ASSINANTE,M,DE 3SM ATE 4SM,33.0
0,0,0,0,NAO,ASSINANTE,F,DE 8SM ATE 14SM,47.0
7,1,0,0,NAO,ASSINANTE,F,DE 4SM ATE 8SM,56.0
6,51,177,0,NAO,ASSINANTE,M,DE 8SM ATE 14SM,37.0
20,12,0,16,SIM,ASSINANTE,M,DE 4SM ATE 8SM,33.0
44,33,10,151,SIM,ASSINANTE,M,DE 3SM ATE 4SM,46.0
4,1,0,3,SIM,ASSINANTE,M,DE 4SM ATE 8SM,26.0
0,16,5,84,SIM,ASSINANTE,M,DE 14SM ATE 25SM,41.0
18,22,0,84,SIM,ASSINANTE,M,DE 3SM ATE 4SM,38.0
24,33,85,0,NAO,ASSINANTE,M,DE 4SM ATE 8SM,62.0
20,48,324,126,SIM,ASSINANTE,M,DE 14SM ATE 25SM,63.0
6,8,4,1,NAO,ASSINANTE,M,DE 4SM ATE 8SM,67.0
0,0,0,0,NAO,ASSINANTE,M,DE 8SM ATE 14SM,58.0
0,5,0,16,SIM,ASSINANTE,M,DE 4SM ATE 8SM,44.0
0,0,0,0,NAO,ASSINANTE,M,DE 4SM ATE 8SM,24.0
1,1,1,1,NAO,ASSINANTE,M,DE 3SM ATE 4SM,53.0
0,0,0,0,NAO,ASSINANTE,M,DE 4SM ATE 8SM,64.0
20,58,286,0,NAO,ASSINANTE,F,DE 3SM ATE 4SM,51.0
7,47,169,210,NAO,ASSINANTE,M,DE 4SM ATE 8SM,66.0
0,0,0,0,NAO,ASSINANTE,F,DE 4SM ATE 8SM,45.0
0,1,2,0,NAO,ASSINANTE,M,DE 8SM ATE 14SM,37.0
3,4,3,0,NAO,ASSINANTE,M,DE 3SM ATE 4SM,46.0
0,0,0,0,NAO,ASSINANTE,M,DE 4SM ATE 8SM,33.0
3,4,4,0,NAO,ASSINANTE,M,DE 8SM ATE 14SM,26.0
0,0,0,0,NAO,ASSINANTE,M,DE 3SM ATE 4SM,37.0
9,58,191,3,NAO,ASSINANTE,F,DE 8SM ATE 14SM,34.0
1,1,0,12,SIM,ASSINANTE,M,DE 14SM ATE 25SM,30.0
0,0,0,0,NAO,ASSINANTE,M,DE 3SM ATE 4SM,32.0
0,0,0,0,NAO,ASSINANTE,F,DE 4SM ATE 8SM,40.0
2,6,0,24,SIM,ASSINANTE,M,DE 3SM ATE 4SM,39.0
0,0,0,0,NAO,ASSINANTE,F,DE 8SM ATE 14SM,31.0
0,0,0,0,NAO,ASSINANTE,M,DE 4SM ATE 8SM,60.0
0,0,0,0,NAO,ASSINANTE,F,DE 4SM ATE 8SM,50.0
0,0,0,0,NAO,ASSINANTE,M,DE 4SM ATE 8SM,70.0
88,22,11,2,NAO,ASSINANTE,M,DE 8SM ATE 14SM,39.0
0,0,0,0,NAO,ASSINANTE,F,DE 4SM ATE 8SM,32.0
53,60,289,495,SIM,ASSINANTE,M,DE 3SM ATE 4SM,56.0
0,12,17,1,NAO,ASSINANTE,M,DE 4SM ATE 8SM,30.0
0,9,5,1,NAO,ASSINANTE,F,DE 4SM ATE 8SM,40.0
0,0,0,0,NAO,ASSINANTE,M,DE 14SM ATE 25SM,79.0
92,38,27,8,SIM,ASSINANTE,M,DE 3SM ATE 4SM,55.0
0,1,0,0,NAO,ASSINANTE,M,DE 4SM ATE 8SM,36.0
0,0,0,0,NAO,ASSINANTE,F,DE 8SM ATE 14SM,35.0
0,1,2,0,NAO,ASSINANTE,M,DE 3SM ATE 4SM,81.0
3,2,5,0,NAO,ASSINANTE,M,DE 8SM ATE 14SM,79.0
0,0,0,0,NAO,ASSINANTE,M,DE 4SM ATE 8SM,42.0
0,0,0,0,NAO,ASSINANTE,M,DE 4SM ATE 8SM,30.0
5,3,1,7,SIM,ASSINANTE,F,ACIMA DE 25SM,41.0
0,0,0,0,NAO,ASSINANTE,F,DE 4SM ATE 8SM,35.0
7,56,410,1366,SIM,ASSINANTE,M,DE 4SM ATE 8SM,48.0
0,0,0,0,NAO,ASSINANTE,F,DE 4SM ATE 8SM,30.0
0,56,171,266,NAO,ASSINANTE,M,DE 8SM ATE 14SM,59.0
46,20,31,7,NAO,ASSINANTE,M,DE 4SM ATE 8SM,66.0
0,0,0,0,NAO,ASSINANTE,M,DE 4SM ATE 8SM,46.0
1,1,0,0,NAO,ASSINANTE,M,DE 4SM ATE 8SM,42.0
0,0,0,0,NAO,ASSINANTE,M,DE 4SM ATE 8SM,47.0
4,1,0,0,NAO,ASSINANTE,F,DE 4SM ATE 8SM,40.0
0,0,0,0,NAO,ASSINANTE,M,DE 3SM ATE 4SM,42.0
7,25,22,18,NAO,ASSINANTE,M,DE 4SM ATE 8SM,49.0
0,12,6,15,NAO,ASSINANTE,M,DE 2SM ATE 3SM,56.0
0,0,0,0,NAO,ASSINANTE,F,DE 4SM ATE 8SM,41.0
0,0,0,0,NAO,ASSINANTE,M,DE 8SM ATE 14SM,43.0
3,13,26,5,NAO,ASSINANTE,M,DE 4SM ATE 8SM,41.0
0,0,0,0,NAO,ASSINANTE,M,DE 4SM ATE 8SM,35.0
8,2,0,6,SIM,ASSINANTE,F,DE 4SM ATE 8SM,55.0
9,0,0,0,NAO,ASSINANTE,M,DE 4SM ATE 8SM,56.0
46,33,30,75,NAO,ASSINANTE,M,DE 14SM ATE 25SM,35.0
0,0,0,0,NAO,ASSINANTE,F,DE 3SM ATE 4SM,39.0
0,0,0,0,NAO,ASSINANTE,M,DE 4SM ATE 8SM,27.0
0,1,1,0,NAO,PROSPECT ,M,DE 4SM ATE 8SM,47.0
0,1,0,1,NAO,PROSPECT ,F,DE 3SM ATE 4SM,72.0
0,22,32,0,NAO,PROSPECT ,F,DE 8SM ATE 14SM,41.0
46,21,9,4,NAO,PROSPECT ,M,DE 3SM ATE 4SM,49.0
20,7,10,1,NAO,PROSPECT ,M,DE 3SM ATE 4SM,35.0
0,1,2,0,NAO,PROSPECT ,M,DE 4SM ATE 8SM,30.0
0,4,4,1,NAO,PROSPECT ,F,DE 4SM ATE 8SM,31.0
0,13,5,0,NAO,PROSPECT ,M,DE 4SM ATE 8SM,36.0
0,28,30,66,NAO,PROSPECT ,M,DE 8SM ATE 14SM,80.0
22,5,0,20,SIM,PROSPECT ,F,DE 8SM ATE 14SM,55.0
0,27,39,6,NAO,PROSPECT ,M,DE 4SM ATE 8SM,70.0
0,16,9,9,NAO,PROSPECT ,M,DE 8SM ATE 14SM,37.0
3,17,19,4,SIM,PROSPECT ,I,DE 4SM ATE 8SM,31.0
0,3,1,4,NAO,PROSPECT ,M,ACIMA DE 25SM,41.0
1,2,2,0,NAO,PROSPECT ,M,DE 4SM ATE 8SM,34.0
12,16,1,31,SIM,PROSPECT ,M,DE 4SM ATE 8SM,36.0
0,6,5,0,NAO,PROSPECT ,F,DE 3SM ATE 4SM,39.0
0,1,1,0,NAO,PROSPECT ,F,DE 8SM ATE 14SM,47.0
0,6,3,0,NAO,PROSPECT ,M,DE 8SM ATE 14SM,65.0
0,3,3,0,NAO,PROSPECT ,F,DE 4SM ATE 8SM,34.0
0,11,14,0,NAO,PROSPECT ,F,DE 3SM ATE 4SM,26.0
0,1,1,0,NAO,PROSPECT ,F,DE 3SM ATE 4SM,39.0
0,14,7,24,NAO,PROSPECT ,M,DE 3SM ATE 4SM,48.0
6,11,9,0,NAO,PROSPECT ,F,DE 2SM ATE 3SM,59.0
0,3,3,0,NAO,PROSPECT ,F,DE 14SM ATE 25SM,33.0
63,41,15,6,NAO,PROSPECT ,M,DE 14SM ATE 25SM,49.0
48,1,0,0,NAO,PROSPECT ,M,DE 4SM ATE 8SM,37.0
0,7,7,0,NAO,PROSPECT ,M,DE 3SM ATE 4SM,32.0
0,3,3,0,NAO,PROSPECT ,F,DE 4SM ATE 8SM,34.0
78,36,10,0,NAO,PROSPECT ,M,DE 4SM ATE 8SM,44.0
0,60,522,5,NAO,PROSPECT ,M,DE 8SM ATE 14SM,41.0
2,8,6,0,NAO,PROSPECT ,M,DE 3SM ATE 4SM,42.0
18,20,3,34,SIM,PROSPECT ,M,DE 8SM ATE 14SM,38.0
0,1,0,0,NAO,PROSPECT ,F,DE 8SM ATE 14SM,44.0
2,37,64,2,NAO,PROSPECT ,M,DE 4SM ATE 8SM,48.0
0,2,0,5,SIM,PROSPECT ,F,DE 4SM ATE 8SM,33.0
1,6,0,11,SIM,PROSPECT ,M,DE 4SM ATE 8SM,38.0
0,3,3,0,NAO,PROSPECT ,F,DE 4SM ATE 8SM,40.0
0,17,24,0,NAO,PROSPECT ,M,DE 3SM ATE 4SM,37.0
0,22,17,17,NAO,PROSPECT ,F,DE 4SM ATE 8SM,37.0
4,18,0,82,SIM,PROSPECT ,M,DE 4SM ATE 8SM,43.0
6,21,8,60,SIM,PROSPECT ,I,DE 4SM ATE 8SM,26.0
0,1,1,0,NAO,PROSPECT ,M,DE 4SM ATE 8SM,60.0
19,23,8,12,SIM,PROSPECT ,F,DE 3SM ATE 4SM,40.0
0,2,2,0,NAO,PROSPECT ,F,DE 3SM ATE 4SM,48.0
48,47,0,69,SIM,PROSPECT ,F,DE 4SM ATE 8SM,62.0
8,8,16,3,NAO,PROSPECT ,F,DE 3SM ATE 4SM,37.0
0,5,6,0,NAO,PROSPECT ,I,DE 4SM ATE 8SM,37.0
0,6,2,0,NAO,PROSPECT ,I,DE 4SM ATE 8SM,55.0
0,10,10,7,NAO,PROSPECT ,M,DE 3SM ATE 4SM,33.0
0,2,2,0,NAO,PROSPECT ,F,DE 4SM ATE 8SM,37.0
0,8,1,10,NAO,PROSPECT ,F,DE 14SM ATE 25SM,67.0
16,15,2,39,SIM,PROSPECT ,F,DE 14SM ATE 25SM,44.0
2,17,3,1,NAO,PROSPECT ,M,DE 4SM ATE 8SM,39.0
0,8,5,4,SIM,PROSPECT ,F,DE 8SM ATE 14SM,96.0
0,1,1,0,NAO,PROSPECT ,F,DE 4SM ATE 8SM,38.0
0,6,3,0,NAO,PROSPECT ,M,DE 8SM ATE 14SM,56.0
0,1,1,0,NAO,PROSPECT ,F,DE 3SM ATE 4SM,50.0
0,15,22,0,NAO,PROSPECT ,F,DE 4SM ATE 8SM,43.0
0,8,8,7,NAO,PROSPECT ,F,DE 4SM ATE 8SM,36.0
0,2,2,0,NAO,PROSPECT ,M,DE 8SM ATE 14SM,82.0
1,2,1,0,NAO,PROSPECT ,M,DE 8SM ATE 14SM,39.0
0,1,0,0,NAO,PROSPECT ,M,DE 4SM ATE 8SM,43.0
0,5,1,3,NAO,PROSPECT ,M,DE 3SM ATE 4SM,35.0
2,13,16,0,NAO,PROSPECT ,F,DE 8SM ATE 14SM,37.0
2,2,4,0,NAO,PROSPECT ,F,DE 3SM ATE 4SM,39.0
2,4,3,0,NAO,PROSPECT ,M,DE 4SM ATE 8SM,27.0
0,12,10,0,NAO,PROSPECT ,F,DE 4SM ATE 8SM,46.0
4,29,15,68,NAO,PROSPECT ,M,DE 4SM ATE 8SM,28.0
0,1,1,0,NAO,PROSPECT ,F,DE 4SM ATE 8SM,65.0
72,39,49,3,NAO,PROSPECT ,M,DE 3SM ATE 4SM,43.0
0,1,1,0,NAO,PROSPECT ,F,DE 4SM ATE 8SM,35.0
0,5,4,0,NAO,PROSPECT ,F,DE 8SM ATE 14SM,40.0
0,3,3,0,NAO,PROSPECT ,M,DE 8SM ATE 14SM,38.0
0,21,17,62,SIM,PROSPECT ,M,DE 3SM ATE 4SM,67.0
12,3,8,0,NAO,PROSPECT ,F,DE 8SM ATE 14SM,70.0
0,1,0,1,NAO,PROSPECT ,F,DE 4SM ATE 8SM,35.0
1,7,0,10,SIM,PROSPECT ,M,ACIMA DE 25SM,40.0
94,31,15,1,NAO,PROSPECT ,M,DE 4SM ATE 8SM,35.0
12,25,16,27,NAO,PROSPECT ,M,DE 3SM ATE 4SM,68.0
0,3,3,0,NAO,PROSPECT ,F,DE 4SM ATE 8SM,29.0
1,15,4,15,NAO,PROSPECT ,M,DE 8SM ATE 14SM,57.0
141,36,7,188,SIM,PROSPECT ,F,DE 3SM ATE 4SM,34.0
1,6,8,0,NAO,PROSPECT ,M,DE 4SM ATE 8SM,45.0
0,3,0,4,SIM,PROSPECT ,M,DE 4SM ATE 8SM,47.0
24,46,13,95,NAO,PROSPECT ,M,DE 4SM ATE 8SM,56.0
0,4,2,0,NAO,PROSPECT ,F,DE 4SM ATE 8SM,34.0
0,2,2,0,NAO,PROSPECT ,M,DE 4SM ATE 8SM,28.0
0,3,2,0,NAO,PROSPECT ,F,DE 3SM ATE 4SM,55.0
22,6,0,43,SIM,PROSPECT ,F,DE 4SM ATE 8SM,62.0
0,2,2,2,NAO,PROSPECT ,F,DE 4SM ATE 8SM,35.0
20,59,605,1391,SIM,PROSPECT ,F,DE 4SM ATE 8SM,22.0
1,2,8,0,NAO,PROSPECT ,F,DE 8SM ATE 14SM,57.0
1,2,0,3,SIM,PROSPECT ,M,DE 2SM ATE 3SM,35.0
0,3,2,0,NAO,PROSPECT ,M,DE 4SM ATE 8SM,40.0
0,1,0,0,NAO,PROSPECT ,F,DE 8SM ATE 14SM,37.0
22,35,0,90,SIM,PROSPECT ,M,DE 14SM ATE 25SM,48.0
2,8,16,8,NAO,PROSPECT ,F,DE 8SM ATE 14SM,39.0
42,20,34,22,NAO,PROSPECT ,F,DE 3SM ATE 4SM,34.0
0,1,1,0,NAO,PROSPECT ,F,DE 3SM ATE 4SM,43.0
0,10,10,0,NAO,PROSPECT ,F,DE 4SM ATE 8SM,32.0
11,29,0,70,SIM,PROSPECT ,M,DE 8SM ATE 14SM,30.0
0,1,1,0,NAO,PROSPECT ,F,DE 4SM ATE 8SM,33.0
0,8,3,7,NAO,PROSPECT ,F,DE 8SM ATE 14SM,43.0
0,1,3,0,NAO,PROSPECT ,F,DE 4SM ATE 8SM,34.0
0,2,3,0,NAO,PROSPECT ,F,DE 8SM ATE 14SM,71.0
33,60,265,320,SIM,PROSPECT ,M,DE 3SM ATE 4SM,44.0
3,5,9,0,NAO,PROSPECT ,M,ACIMA DE 25SM,42.0
52,31,17,5,NAO,PROSPECT ,F,DE 4SM ATE 8SM,42.0
1,14,5,19,NAO,PROSPECT ,M,DE 3SM ATE 4SM,39.0
4,53,183,182,SIM,PROSPECT ,F,DE 3SM ATE 4SM,34.0
2,1,1,0,NAO,PROSPECT ,M,DE 4SM ATE 8SM,35.0
26,28,36,2,NAO,PROSPECT ,F,DE 4SM ATE 8SM,36.0
74,51,0,348,SIM,PROSPECT ,M,DE 4SM ATE 8SM,64.0
0,2,2,0,NAO,PROSPECT ,I,DE 4SM ATE 8SM,63.0
24,12,6,0,NAO,PROSPECT ,M,DE 3SM ATE 4SM,47.0
0,1,1,0,NAO,PROSPECT ,F,DE 3SM ATE 4SM,31.0
4,46,0,359,SIM,PROSPECT ,M,DE 3SM ATE 4SM,42.0
10,41,14,62,SIM,PROSPECT ,M,DE 4SM ATE 8SM,58.0
18,8,8,3,NAO,PROSPECT ,M,DE 4SM ATE 8SM,29.0
19,27,6,42,SIM,PROSPECT ,M,DE 4SM ATE 8SM,38.0
0,46,152,18,SIM,PROSPECT ,M,DE 4SM ATE 8SM,45.0
94,36,0,184,SIM,PROSPECT ,F,DE 4SM ATE 8SM,81.0
0,2,2,0,NAO,PROSPECT ,F,DE 3SM ATE 4SM,37.0
4,37,27,74,SIM,PROSPECT ,M,DE 4SM ATE 8SM,35.0
0,5,4,0,NAO,PROSPECT ,F,DE 8SM ATE 14SM,36.0
0,3,2,0,NAO,PROSPECT ,F,DE 4SM ATE 8SM,40.0
0,1,1,0,NAO,PROSPECT ,M,DE 14SM ATE 25SM,36.0
12,54,119,431,SIM,PROSPECT ,F,DE 8SM ATE 14SM,54.0
0,60,323,348,SIM,PROSPECT ,M,DE 3SM ATE 4SM,32.0
0,57,184,239,SIM,PROSPECT ,F,DE 4SM ATE 8SM,61.0
0,1,1,0,NAO,PROSPECT ,M,DE 4SM ATE 8SM,52.0
0,7,3,0,NAO,PROSPECT ,M,DE 2SM ATE 3SM,42.0
4,4,5,0,NAO,PROSPECT ,M,DE 4SM ATE 8SM,43.0
6,20,39,0,NAO,PROSPECT ,M,DE 4SM ATE 8SM,45.0
0,26,32,0,NAO,PROSPECT ,M,DE 4SM ATE 8SM,33.0
0,60,395,574,SIM,PROSPECT ,F,DE 4SM ATE 8SM,33.0
0,5,3,0,NAO,PROSPECT ,M,DE 4SM ATE 8SM,43.0
3,10,7,0,NAO,PROSPECT ,M,DE 3SM ATE 4SM,51.0
0,33,169,132,NAO,PROSPECT ,M,DE 3SM ATE 4SM,31.0
0,18,94,59,SIM,PROSPECT ,I,DE 3SM ATE 4SM,67.0
0,3,1,0,NAO,PROSPECT ,F,DE 3SM ATE 4SM,52.0
0,13,16,0,NAO,PROSPECT ,F,DE 3SM ATE 4SM,65.0
0,2,2,0,NAO,PROSPECT ,F,DE 3SM ATE 4SM,29.0
0,1,0,1,SIM,PROSPECT ,F,DE 4SM ATE 8SM,68.0
0,1,1,0,NAO,PROSPECT ,F,ACIMA DE 25SM,52.0
0,9,4,18,NAO,PROSPECT ,F,DE 4SM ATE 8SM,35.0
0,7,10,20,SIM,PROSPECT ,M,DE 4SM ATE 8SM,46.0
0,3,1,1,NAO,PROSPECT ,M,DE 4SM ATE 8SM,34.0
0,1,0,4,SIM,PROSPECT ,F,DE 4SM ATE 8SM,54.0
0,6,1,1,NAO,PROSPECT ,M,DE 8SM ATE 14SM,58.0
0,44,37,119,SIM,PROSPECT ,I,DE 3SM ATE 4SM,71.0
0,2,0,8,SIM,PROSPECT ,I,DE 3SM ATE 4SM,55.0
0,31,52,0,NAO,PROSPECT ,M,DE 8SM ATE 14SM,41.0
10,10,9,1,NAO,PROSPECT ,M,DE 4SM ATE 8SM,31.0
0,2,1,0,NAO,PROSPECT ,M,DE 8SM ATE 14SM,36.0
5,1,0,5,SIM,PROSPECT ,M,DE 8SM ATE 14SM,44.0
5,44,99,5,NAO,PROSPECT ,M,DE 4SM ATE 8SM,36.0
31,49,18,160,NAO,PROSPECT ,M,DE 4SM ATE 8SM,40.0
0,19,54,1,NAO,PROSPECT ,M,DE 4SM ATE 8SM,75.0
0,2,1,1,NAO,PROSPECT ,M,DE 2SM ATE 3SM,45.0
0,2,2,0,NAO,PROSPECT ,F,DE 3SM ATE 4SM,42.0
9,13,2,28,SIM,PROSPECT ,M,DE 8SM ATE 14SM,58.0
5,17,11,19,NAO,PROSPECT ,M,DE 4SM ATE 8SM,30.0
14,8,10,0,NAO,PROSPECT ,F,DE 4SM ATE 8SM,47.0
0,17,24,0,NAO,PROSPECT ,M,DE 8SM ATE 14SM,35.0
0,1,1,0,NAO,PROSPECT ,M,DE 3SM ATE 4SM,33.0
68,46,8,99,NAO,PROSPECT ,M,DE 8SM ATE 14SM,65.0
45,17,10,0,NAO,PROSPECT ,M,DE 3SM ATE 4SM,44.0
18,20,20,8,NAO,PROSPECT ,M,DE 14SM ATE 25SM,38.0
0,4,4,0,NAO,PROSPECT ,F,DE 4SM ATE 8SM,58.0
8,21,34,0,NAO,PROSPECT ,F,DE 4SM ATE 8SM,41.0
5,9,15,0,NAO,PROSPECT ,F,DE 4SM ATE 8SM,36.0
0,1,0,0,NAO,PROSPECT ,M,DE 4SM ATE 8SM,41.0
0,19,9,24,NAO,PROSPECT ,F,DE 3SM ATE 4SM,43.0
0,8,1,9,NAO,PROSPECT ,M,DE 8SM ATE 14SM,43.0
0,1,1,0,NAO,PROSPECT ,F,DE 4SM ATE 8SM,29.0
3,2,0,4,SIM,PROSPECT ,M,DE 3SM ATE 4SM,41.0
3,2,1,0,NAO,PROSPECT ,M,DE 4SM ATE 8SM,55.0
0,27,21,0,NAO,PROSPECT ,F,DE 3SM ATE 4SM,57.0
0,1,3,0,NAO,PROSPECT ,F,DE 14SM ATE 25SM,48.0
0,5,4,0,NAO,PROSPECT ,F,ATE 1SM,30.0
2,14,4,2,NAO,PROSPECT ,M,DE 8SM ATE 14SM,37.0
1,18,13,32,SIM,PROSPECT ,M,DE 4SM ATE 8SM,49.0
0,60,1077,594,SIM,PROSPECT ,M,DE 14SM ATE 25SM,48.0
12,8,11,0,NAO,PROSPECT ,I,ACIMA DE 25SM,58.0
1,2,0,4,SIM,PROSPECT ,M,DE 4SM ATE 8SM,34.0
0,5,4,0,NAO,PROSPECT ,F,DE 8SM ATE 14SM,47.0
0,3,4,2,NAO,PROSPECT ,M,DE 3SM ATE 4SM,47.0
0,1,0,0,NAO,PROSPECT ,M,DE 8SM ATE 14SM,43.0
0,15,4,0,NAO,PROSPECT ,M,DE 4SM ATE 8SM,31.0
5,20,3,45,SIM,PROSPECT ,M,DE 4SM ATE 8SM,72.0
0,53,147,118,SIM,PROSPECT ,F,DE 4SM ATE 8SM,42.0
0,7,5,0,NAO,PROSPECT ,M,DE 4SM ATE 8SM,37.0
10,57,790,205,SIM,PROSPECT ,F,DE 3SM ATE 4SM,47.0
0,9,10,0,NAO,PROSPECT ,M,DE 8SM ATE 14SM,56.0
0,2,1,1,SIM,PROSPECT ,F,DE 4SM ATE 8SM,73.0
0,1,1,0,NAO,PROSPECT ,M,DE 3SM ATE 4SM,42.0
